rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	1	2		エンドーツダ	牝4	51.0		藤田菜七	1:55.8		4-3-4-3	38.2	2.7	2	454	14		萱野浩二		望月雅博	760.0
2	5	9		ペイシャキュウ	牝4	53.0		野中悠太	1:56.2	2.1/2	13-13-15-13	36.9	34.4	8	424	-4		蛯名利弘		北所直人	300.0
3	3	5		グロリアーナ	牝4	54.0		マーフィ	1:56.3	1/2	4-5-6-5	38.4	2.4	1	516	8		木村哲也		サンデーレーシング	190.0
4	8	15		ミンネザング	牝6	55.0		横山武史	1:56.4	3/4	8-9-8-7	38.3	75.4	9	496	2		萩原清		金子真人ホールディングス	110.0
5	4	8		ラティーンセイル	牝4	54.0		ミナリク	1:56.5	クビ	2-3-2-2	39.1	6.6	3	490	-2		加藤征弘		キャロットファーム	76.0
6	6	12		ゴールデンフィジー	牝5	55.0		木幡巧也	1:56.7	1.1/4	11-10-8-7	38.5	12.0	4	436	-4		牧光二		吉田照哉	
7	2	3		ココリモアナ	牝5	55.0		北村宏司	1:57.3	3.1/2	1-1-1-1	39.9	18.3	6	460	0		古賀慎明		美崎光二郎	
8	8	16		ネオファルコン	牝4	54.0		津村明秀	1:57.6	2.0	15-15-16-16	38.1	127.3	12	458	-2		鈴木伸尋		西田俊二	
9	1	1		ボンドロール	牝4	54.0		内田博幸	1:57.7	クビ	10-10-11-11	39.2	96.9	10	446	-18		矢野英一		ディアレストクラブ	
10	5	10		クィーンユニバンス	牝4	54.0		丸山元気	1:57.7	ハナ	15-15-13-13	38.8	16.0	5	508	-6		田村康仁		亀井哲也	
11	6	11		ミッキーマンドリン	牝5	55.0		石橋脩	1:57.8	3/4	6-6-4-5	40.1	109.5	11	472	2		萩原清		野田みづき	
12	7	13		デルマエトワール	牝4	51.0		小林凌大	1:57.8	クビ	14-13-12-12	39.1	535.3	14	478	8		堀井雅広		浅沼廣幸	
13	2	4		ストライクショット	牝7	54.0		菊沢一樹	1:58.5	4.0	7-7-8-7	40.4	495.1	13	512	14		石毛善彦		イージス	
14	7	14		スースー	牝4	54.0		Ｍ．デム	1:58.6	1/2	8-7-3-3	41.1	23.7	7	420	10		大和田成		田中純一	
15	3	6		アンフィーサ	牝5	55.0		的場勇人	1:59.3	4.0	11-12-13-15	40.3	603.2	16	486	10		藤原辰雄		谷口祐人	
16	4	7		カサーレ	牝5	53.0		菅原明良	1:59.6	2.0	2-2-6-10	41.7	545.8	15	438	1		古賀慎明		飯田正剛	
