日付	天気	R	頭数	枠番	馬番	オッズ	人気	着順	斤量	馬場	タイム	着差	通過	ペース	上り	place	race_id	race_name	movie	jockey_id	jockey_name	field	distance	weight	gain	bounty
2022/07/15	曇	10	9	6	6	46.9	8	7	50.0	重	1:50.6	3.4	6-5-6	0.0-41.5	43.8	笠松	202247071510	ピークハント賞	202247071510	a0422	深澤杏花	ダ	1600	478	0	0.0
2022/06/29	晴	9	10	4	4	28.0	6	6	50.0	良	1:34.4	2.2	6-7-6	0.0-41.1	41.9	笠松	202247062909	笠ヶ岳賞	202247062909	a0422	深澤杏花	ダ	1400	478	3	0.0
2022/06/15	曇	11	10	8	10	9.9	3	8	50.0	重	1:48.7	2.1	10-8-9	0.0-41.2	41.5	笠松	202247061511	蘇水峡特別	202247061511	a0422	深澤杏花	ダ	1600	475	-4	0.0
2022/06/01	曇	7	8	6	6	3.2	2	1	54.0	良	1:32.2	-0.3	3-3-3	0.0-41.4	41.0	笠松	202247060107	3歳3組	202247060107	05053	丸野勝虎	ダ	1400	479	1	36.0
2022/05/12	雨	8	9	4	4	158.2	9	7	50.0	稍	1:32.4	1.7	9-9-8	0.0-40.2	38.4	笠松	202247051208	若鮎特別	202247051208	a0422	深澤杏花	ダ	1400	478	7	0.0
2022/04/27	曇	8	9	7	7	36.9	5	5	54.0	重	1:36.5	2.4	5-4-5	0.0-41.7	43.1	笠松	202247042708	ミルク賞	202247042708	05053	丸野勝虎	ダ	1400	471	-2	2.2
2022/04/18	雨	2	6	1	1	50.5	4	3	54.0	良	1:33.7	0.8	6-4-3	0.0-39.4	39.4	笠松	202247041802	3歳3組	202247041802	05489	今井貴大	ダ	1400	473	2	5.4
2022/03/16	晴	8	8	4	4	71.3	7	5	54.0	良	1:34.8	1.1	1-1-1	0.0-41.8	42.9	笠松	202247031608	朧月賞	202247031608	05053	丸野勝虎	ダ	1400	471	-9	2.3
2022/02/09	晴	8	6	3	3	10.9	4	6	50.0	良	1:37.1	3.0	5-5-5	0.0-41.8	44.1	笠松	202247020908	サラ系3歳3組	202247020908	a0422	深澤杏花	ダ	1400	480	-5	0.0
2022/01/26	晴	8	10	1	1	18.2	6	8	50.0	良	1:51.2	3.2	3-6-6	0.0-42.0	44.9	笠松	202247012608	若菜賞	202247012608	a0422	深澤杏花	ダ	1600	485	-1	0.0
2022/01/12	晴	9	7	6	6	2.8	1	5	50.0	稍	1:34.9	1.7	4-4-4	0.0-41.3	42.2	笠松	202247011209	若竹賞	202247011209	a0422	深澤杏花	ダ	1400	486	5	2.3
2021/12/31	雪	1	7	7	7	1.7	1	1	50.0	不	0:50.2	-0.6	1	0.0-36.8	36.8	笠松	202147123101	笠松デビュー馬未勝利	202147123101	a0422	深澤杏花	ダ	800	481	7	45.0
2021/10/28	晴	11	9	1	1			取	50.0	良				0.0-39.9		笠松	202147102811	チャレンジ(OP)	202147102811	a0422	深澤杏花	ダ	1400	計不		0.0
2021/10/08	晴	2	6	6	6	4.2	2	3	50.0	良	1:32.9	1.9	4-4-3	0.0-39.7	41.2	笠松	202147100802	サラ系2歳3組	202147100802	a0422	深澤杏花	ダ	1400	474	-1	6.8
2021/09/23	晴	1	6	4	4	2.0	2	2	50.0	稍	0:49.8	0.7	2	0.0-36.1	36.5	笠松	202147092301	サラ系2歳4組	202147092301	a0422	深澤杏花	ダ	800	475	8	13.5
2021/09/10	晴	5	6	1	1	34.6	6	4	54.0	稍	0:50.1	0.3	5	0.0-37.1	35.5	笠松	202147091005	新馬戦(新馬)	202147091005	a027b	森島貴之	ダ	800	467	0	15.0
