rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	8	10		メイショウテンゲン	牡3	56.0		池添謙一	2:03.3		6-6-4-5	36.7	39.1	8	458	-8		池添兼雄		松本好雄	5,471.4
2	5	5		シュヴァルツリーゼ	牡3	56.0		石橋脩	2:03.5	1.1/2	9-9-9-7	36.2	20.2	6	488	10		堀宣行		サンデーレーシング	2,220.4
3	7	8		ブレイキングドーン	牡3	56.0		福永祐一	2:03.7	3/4	8-8-8-7	36.7	7.3	4	498	4		中竹和也		前田幸貴	1,410.2
4	2	2		ニシノデイジー	牡3	56.0		勝浦正樹	2:03.7	アタマ	4-5-4-2	37.1	2.7	1	496	6		高木登		西山茂行	810.0
5	3	3		カントル	牡3	56.0		Ｍ．デム	2:03.7	ハナ	3-3-4-2	37.1	5.3	3	464	4		藤原英昭		金子真人ホールディングス	540.0
6	4	4		サトノラディウス	牡3	56.0		武豊	2:04.0	1.3/4	6-6-7-9	37.1	10.1	5	490	-4		国枝栄		サトミホースカンパニー	
7	1	1		ラストドラフト	牡3	56.0		田辺裕信	2:04.0	アタマ	1-1-1-1	37.7	2.9	2	452	-4		戸田博文		社台レースホース	
8	8	9		ナイママ	牡3	56.0		柴田大知	2:04.0	クビ	4-3-2-2	37.6	63.0	9	450	2		河津裕昭		岡田繁幸	
9	6	6		ヴァンケドミンゴ	牡3	56.0		ミナリク	2:05.3	8.0	2-2-2-5	38.9	37.7	7	468	4		藤岡健一		幅田昌伸	
10	7	7		ラバストーン	牡3	56.0		江田照男	2:07.5	大	10-10-10-10	38.7	237.4	10	456	2		大江原哲		田頭勇貴	
