rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	1	1		オラコモエスタス	牡3	56.0		Ｍ．デム	2:02.7		1-1-1-1	35.4	3.8	2	502	6		伊藤大士		玉腰勇吉	510.0
2	2	4		ニシノアクシス	牡3	56.0		田辺裕信	2:03.5	5.0	2-2-2-2	36.1	99.8	12	504	-8		上原博之		西山茂行	200.0
3	1	2		リュウノルフィ	牡3	56.0		柴田善臣	2:03.6	3/4	3-4-4-3	36.0	20.9	6	446	14		小野次郎		蓑島竜一	130.0
4	7	14		カランクール	牝3	54.0		吉田豊	2:03.7	クビ	10-11-11-11	35.6	24.3	7	466	-8		粕谷昌央		日進牧場	77.0
5	6	12		テルヌーラ	牝3	54.0		池添謙一	2:03.9	1.1/4	3-3-2-3	36.4	5.0	3	464	10		木村哲也		吉田勝己	51.0
6	2	3		グラスデスティーノ	牡3	56.0		木幡巧也	2:03.9	ハナ	5-4-4-5	36.2	14.6	5	480	2		牧光二		半沢	
7	4	7		シャドウワルツ	牡3	56.0		福永祐一	2:03.9	ハナ	10-8-10-7	35.9	30.6	8	430	2		斎藤誠		飯塚知一	
8	3	6		パースピレーション	牡3	56.0		大野拓弥	2:04.0	1/2	8-8-8-7	36.1	32.0	9	474	4		田村康仁		吉田照哉	
9	7	13		コトブキテティス	牝3	54.0		石橋脩	2:04.1	クビ	13-14-12-11	35.9	2.4	1	434	8		田島俊明		尾上松壽	
10	6	11		トーセンロンド	牡3	56.0		武藤雅	2:04.2	3/4	8-8-8-7	36.3	162.3	13	446	8		小笠倫弘		島川隆哉	
11	5	9		トロピカルビーチ	牝3	54.0		ミナリク	2:04.2	ハナ	12-11-12-14	36.0	189.3	15	424	2		和田雄二		サラブレッドクラブ・ラフィアン	
12	5	10		グランチーノ	牝3	54.0		津村明秀	2:04.2	クビ	5-4-4-5	36.6	171.8	14	444	-10		岩戸孝樹		小菅誠	
13	3	5		コスモストライカー	牡3	54.0		丹内祐次	2:04.2	ハナ	5-7-7-7	36.4	10.7	4	480	2		加藤士津		ビッグレッドファーム	
14	8	15		ジェイケイエピファ	牝3	54.0		横山和生	2:04.3	1/2	13-11-12-13	36.1	38.5	10	460	0		鹿戸雄一		小谷野次郎	
15	8	16		エドノフェリーチェ	牝3	54.0		石川裕紀	2:04.3	アタマ	15-15-15-16	35.9	95.6	11	446	-14		相沢郁		遠藤喜松	
16	4	8		ゲンパチビーム	牡3	56.0		岩部純二	2:04.5	1.1/4	15-15-15-14	36.1	414.6	16	420	4		萱野浩二		平野武志	
