	track	direction	distance	weather	going	start_at	title	grade	date	round	place	days	requirement	rule	単勝:的中	単勝:配当	単勝:人気	複勝_1:的中	複勝_1:配当	複勝_1:人気	複勝_2:的中	複勝_2:配当	複勝_2:人気	複勝_3:的中	複勝_3:配当	複勝_3:人気	枠連:的中	枠連:配当	枠連:人気	馬連:的中	馬連:配当	馬連:人気	ワイド_1:的中	ワイド_1:配当	ワイド_1:人気	ワイド_2:的中	ワイド_2:配当	ワイド_2:人気	ワイド_3:的中	ワイド_3:配当	ワイド_3:人気	馬単:的中	馬単:配当	馬単:人気	三連複:的中	三連複:配当	三連複:人気	三連単:的中	三連単:配当	三連単:人気	spacing_on_corner:1	spacing_on_corner:2	spacing_on_corner:3	spacing_on_corner:4	laptime	pacemaker
200256010101	ダ	右	1300	曇	良	11:00	B3		2002-1-1	14	荒尾	2	(定量)																																							9,8,6-7,5,3,1,2,4	986572314	(6,2),9,5,(1,7,3),4,8		
200256010102	ダ	右	1300	曇	良	11:30	C2		2002-1-1	14	荒尾	2	(定量)																																							695287134	6,9,5,2,8,7-1,3,4	6-9,2,5,7,8-1,3,4		
200256010103	ダ	右	1400	曇	良	12:05	B3		2002-1-1	14	荒尾	2	(定量)																																						786342159.0	783642159	7,8,3,4,(1,6,2),5,9	7,8,2,3,4,1,5-6,9		
200256010104	ダ	右	1400	曇	良	12:40	C2		2002-1-1	14	荒尾	2	(定量)																																						924185367.0	923418567	9,3,2-4,1,5,8,6,7	9,3-2,4,1,6,8,5,7		
200256011601	ダ	右	1300	小雨	重	11:00	B3		2002-1-16	15	荒尾	2	(定量)																																							473962815.0	479386215.0	748936512.0		
200256011602	ダ	右	1300	曇	重	11:30	C2		2002-1-16	15	荒尾	2	(定量)																																							3,5,9,4,(1,7),2,6,8	359471286	593417286		
200256011603	ダ	右	1400	曇	重	12:05	B3		2002-1-16	15	荒尾	2	(定量)																																						31095641287.0	31096425187	31049621587	3,10,4-2,1,9,7,6,8,5		
200256011604	ダ	右	1400	曇	重	12:40	C2		2002-1-16	15	荒尾	2	(定量)																																						1,8,3,6,(4,5),2,9,7	(1,8),3,5,6,4,2,(7,9)	1,8,(3,5,6),9,(7,4,2)	8,1,2,5,9,4,6,7-3		
200256011605	ダ	右	1400	曇	重	13:15	C2		2002-1-16	15	荒尾	2	(定量)																																						65389710412	63518471092	63547811092	6,3,5,4,10,7,9,8,1-2		
200256011606	ダ	右	1400	曇	重	13:50	C2		2002-1-16	15	荒尾	2	(定量)																																						2,1,5,6,7,3,8,4-9	1,2,5,6,7,3,4,8=9	1,2,5,6,7,4,3,8-9	1,(2,5),6,7,(3,8,9),4		
200256011607	ダ	右	1500	曇	重	14:25	熊本県内産馬特別 		2002-1-16	15	荒尾	2	(ハンデ)																																						2,4,5,6,(8,9),1,7,3	2,4,5,9,8,6,1,7-3	245691873	456197832		
200256011608	ダ	右	1400	曇	重	15:00	ノカイドウ特別 		2002-1-16	15	荒尾	2	(定量)																																						37458921016	37459821016	3,7,9,4,5,8,2-10,1,6	79235410816		
200256012901	ダ	右	1300	晴	良	11:00	B3		2002-1-29	15	荒尾	6	(定量)																																							58413276	58412736	8,(4,2),5,1,3,7,6		
200256012902	ダ	右	1300	晴	良	11:30	C2		2002-1-29	15	荒尾	6	(定量)																																							7,(5,8),3,1,2,6,4	7,8,3,5-1,2,6,4	8,3,7-5,1,2,6,4		
200256012903	ダ	右	1400	晴	良	12:05	B3		2002-1-29	15	荒尾	6	(定量)																																						38465271	38645721	3,8,6,4,5,7,(2,1)	83765241		
200256012904	ダ	右	1400	晴	良	12:40	C2		2002-1-29	15	荒尾	6	(定量)																																						8,1,2,4,9,5,(6,7),3	812495763	841297563	849172653		
200256012905	ダ	右	1400	晴	良	13:15	C2		2002-1-29	15	荒尾	6	(定量)																																						4567283	5426783	5,2,4,6,8,7-3	5,2-4,6,8,7,3		
200256020501	ダ	右	1300	晴	良	11:00	C2		2002-2-5	16	荒尾	2	(定量)																																							3,4,2,(6,5),1,7	3426517	4,2,6,3,5-1,7		
200256020502	ダ	右	1300	晴	良	11:30	3歳		2002-2-5	16	荒尾	2	(定量)																																							2,7,5,(1,4),3,6	2754613	(2,7,5),4,1,6,3		
200256020503	ダ	右	1300	晴	良	12:05	B3		2002-2-5	16	荒尾	2	(定量)																																							193645782	196345782	4,9,6,(1,8,7),(5,2),3		
200256020504	ダ	右	1400	晴	良	12:40	3歳		2002-2-5	16	荒尾	2	(定量)																																						975834261	794538261	794538261	7-4,9,3,1,6,2,5,8		
200256020505	ダ	右	1400	晴	良	13:15	B3		2002-2-5	16	荒尾	2	(定量)																																						31891046725	1,3,8,9,(4,6),10,7,2,5	1,3,8,9,10,(4,6),7,2,5	1,(3,8),9,(4,6),10,7,2,5		
200256020506	ダ	右	1400	晴	良	13:50	B2		2002-2-5	16	荒尾	2	(定量)																																						(2,9),6,7,(1,3,4),10,8,5	2,9,6,1,(3,7),4,8,(5,10)	2,9,6,7,4,1,3,(5,8),10	46297381510		
200256020507	ダ	右	1400	晴	良	14:25	C2		2002-2-5	16	荒尾	2	(定量)																																						29163754108	2,9,1,6,3,5,7,4,10-8	2,9,6,1,7,3,4,10,5-8	29714103658		
200256020508	ダ	右	1400	曇	良	15:00	C2		2002-2-5	16	荒尾	2	(定量)																																						19536871024	1,9,5,3,(2,7),6,8,4,10	19537264108	1-5,3,7,9,2,10,4,8,6		
200256030501	ダ	右	1300	小雨	稍重	11:00	C2		2002-3-5	17	荒尾	3	(定量)																																							1,6,2,7-4,5,3	1627435	6,1-2,4,3,5,7		
200256030502	ダ	右	1300	小雨	稍重	11:30	3歳		2002-3-5	17	荒尾	3	(定量)																																							159467328	1,5,9,6,7,8,(4,3,2)	156978324		
200256030503	ダ	右	1400	小雨	稍重	12:00	3歳		2002-3-5	17	荒尾	3	(定量)																																						149853276	1,4-9,3,8,5,7,2,6	1,4-9,5,8,7,3,2,6	1,4,5,9,8,7,6-2,3		
200256030504	ダ	右	1400	小雨	稍重	12:30	C2		2002-3-5	17	荒尾	3	(定量)																																						489671253	489267153	489267513	4,8,9,2-6,3,5,7,1		
200256031801	ダ	右	1300	晴	良	11:00	3歳		2002-3-18	18	荒尾	3	(定量)																																							2,1,8-(4,6,7),3,5	2,1,8-(4,6,7),5,3	(2,8),5-4,3,(1,7),6		
200256031802	ダ	右	1400	晴	良	11:30	3歳		2002-3-18	18	荒尾	3	(定量)																																						4561732	4516732	4567132	4573261		
200256031803	ダ	右	1400	晴	良	12:00	B3		2002-3-18	18	荒尾	3	(定量)																																						46952371810	46592371810	46592731810	4,5,9,(6,10),7,8,2,1,3		
200256031804	ダ	右	1400	晴	良	12:30	C2		2002-3-18	18	荒尾	3	(定量)																																						91082137465	9,10,8,(1,2),3,7-4,6,5	9,10,8,(1,3,7,2),5,6,4	98103157462		
200256031805	ダ	右	1400	晴	良	13:00	C2		2002-3-18	18	荒尾	3	(定量)																																						5,9,(7,8),4,1,2,6,10,3	59784121063	5,9,7,8,4,(2,1),10,6-3	5,9,(10,4,7),1,8,2,6-3		
200256031806	ダ	右	1400	晴	良	13:35	C2		2002-3-18	18	荒尾	3	(定量)																																						(7,9),4,6,3,2,8,1,5	794362815	(7,4),9,8,3,2,6,1,5	4-3,8,7,1,9,2,6-5		
200256032401	ダ	右	1300	晴	良	11:00	3歳		2002-3-24	18	荒尾	4	(定量)																																							5,7,9,2,6,(3,8),1,4	5,7,9,2,6,8,4,(3,1)	925713648		
200256032402	ダ	右	1300	晴	良	11:30	C2		2002-3-24	18	荒尾	4	(定量)																																							57248316	57248361	7,5,2,4-6,3,8,1		
200256032403	ダ	右	1400	晴	良	12:00	B3		2002-3-24	18	荒尾	4	(定量)																																						10629483571	10,6,2,9,4,8-1,(3,7),5	10,6,2,9,(4,8),7,1,5,3	(10,6),2,9,7,8,1,5,3		
200256032404	ダ	右	1400	晴	良	12:30	B2		2002-3-24	18	荒尾	4	(定量)																																						(1,5,10),2,6,3,8,4,7,9	15210368497	1,5,10,(2,3),(8,6),4,9,7	15387106249		
200256032405	ダ	右	1400	晴	良	13:05	3歳		2002-3-24	18	荒尾	4	(定量)																																						69781103254	67912108354	67910185234	6,(1,8),7,(9,5),2,10,3,4		
200256032406	ダ	右	1400	晴	良	13:40	C2		2002-3-24	18	荒尾	4	(定量)																																						4,10,8,5,9,7,1,11,6,2-3	4,8,9,5,1,10,7,11,6,2-3	4,(8,10),5,1,9,7,2,11,6,3	4,8,5,1,7,10,9,2,3,11-6		
200256032407	ダ	右	1400	晴	良	14:15	C2		2002-3-24	18	荒尾	4	(定量)																																						125192473611108	121592473681110	121597243681110	112594761081132		
200256041701	ダ	右	1300	曇	不良	11:00	3歳		2002-4-17	1	荒尾	4	(定量)																																							8,(3,7),2,6,1,5,4	8,7,3-2,6,(1,4),5	7,8,3=1,2,4,6,5		
200256041702	ダ	右	1400	曇	不良	11:30	3歳		2002-4-17	1	荒尾	4	(定量)																																						258469317	258469317	258643719	568247193		
200256041703	ダ	右	1400	曇	不良	12:00	C2		2002-4-17	1	荒尾	4	(定量)																																						485763192	485167329	4,8,6,(1,5,7),9,2,3	4,8,1,(2,6,5),7,9		
200256041704	ダ	右	1400	曇	不良	12:30	C2		2002-4-17	1	荒尾	4	(定量)																																						1123764101589	1124371561089	2117314106589	2,11,1,7,9,10,8,3,6,5-4		
200256042801	ダ	右	1300	晴	良	11:00	3歳		2002-4-28	2	荒尾	4	(定量)																																							1,4,2,8,5,3,(6,7)	14285376	1,4,8,2,5,(3,7),6		
200256042802	ダ	右	1300	晴	良	11:30	3歳		2002-4-28	2	荒尾	4	(定量)																																							4567123.0	4675132.0	6475123.0		
200256042803	ダ	右	1400	晴	良	12:00	3歳		2002-4-28	2	荒尾	4	(定量)																																						13465827	13456287	13465827	15268473		
200256042804	ダ	右	1400	晴	良	12:30	3歳		2002-4-28	2	荒尾	4	(定量)																																						367542981	3,(6,7),5,4,2-8,9,1	3,6,7,2,5,4,8,9-1	375264891		
200256042805	ダ	右	1400	晴	良	13:05	C2		2002-4-28	2	荒尾	4	(定量)																																						935712468	391572468	395217846	328971546		
200256042806	ダ	右	1400	晴	良	13:40	B1　B2		2002-4-28	2	荒尾	4	(定量)																																						41068957231	41068957231	4,10,(9,3),(6,8),5,7,2,1	4,5,(6,10),9,1,8,2,3,7		
200256042807	ダ	右	1400	晴	良	14:15	C2		2002-4-28	2	荒尾	4	(定量)																																						24619810573	24169851073	26491851037	62918457103		
200256071701	ダ	右	800	雨	不良	11:00	ストロングホース		2002-7-17	6	荒尾	4	(定量)																																								94721031586	9,4,7,2,1,3,10,5-8,6		
200256071702	ダ	右	950	雨	不良	11:30	2歳		2002-7-17	6	荒尾	4	(定量)																																								915486327	9,1,4,5,6,2,8,3-7		
200256071703	ダ	右	1300	曇	不良	12:00	2歳		2002-7-17	6	荒尾	4	(定量)																																							36245.0	36425.0	46325.0		
200256071704	ダ	右	1300	曇	不良	12:30	3歳		2002-7-17	6	荒尾	4	(定量)																																							3681724910.0	3681742910.0	3687241910.0		
200256071705	ダ	右	1300	曇	不良	13:00	3歳		2002-7-17	6	荒尾	4	(定量)																																							12673891045	12673841095	1,2-7,8,4,3,6,10,5,9		
200256071706	ダ	右	1400	晴	不良	13:35	3歳		2002-7-17	6	荒尾	4	(定量)																																						4510712611893	4,5,10,1,7,2,6,(11,9),3,8	4,5,10,2,1,(6,7),(11,9),3,8	4510127361198		
200256071707	ダ	右	1400	晴	不良	14:10	3歳		2002-7-17	6	荒尾	4	(定量)																																						5729386114101	5729386411101	5798234610111	5,8,9,7,2,10,6,4,11-1,3		
200256071708	ダ	右	1400	晴	不良	14:45	C1		2002-7-17	6	荒尾	4	(定量)																																						468215739	468213597	4,6,(2,8),1,(3,9),5,7	(4,6),2,8,3,1,9,5,7		
