rank	waku	umaban	horse_id	horse_name	barei	impost	jockey_id	jockey_name	time	diff	rank_at_corner	max_speed	odds	ninki	weight	gain	trainer_id	trainer_name	owner_id	owner_name	bounty
1	7	13		タイムリメンバード	牝3	54.0		嘉藤貴行	1:57.3		8-7-5-5	39.8	24.1	7	466	-2		大和田成		阿部善武	500.0
2	5	8		ニシノアメイズ	牝3	54.0		松岡正海	1:57.5	1.1/2	9-9-8-8	39.7	11.1	6	494	0		松山将樹		西山茂行	200.0
3	5	9		メジャーセブンス	牝3	54.0		田辺裕信	1:57.6	1/2	4-5-3-4	40.3	9.1	4	462	-12		小笠倫弘		社台レースホース	130.0
4	8	14		グリグリ	牝3	54.0		武豊	1:57.6	クビ	7-7-5-5	40.1	2.5	1	494	-8		奥村武		増田和啓	75.0
5	4	6		トゥービーシック	牝3	54.0		横山和生	1:57.7	クビ	4-3-3-2	40.5	24.5	8	428	2		古賀史生		西森鶴	50.0
6	7	12		ジャストベリー	牝3	54.0		江田照男	1:58.6	5.0	11-11-10-10	40.5	112.5	11	426	-10		蛯名利弘		荻伏服部牧場	
7	1	1		ギャラクシーハニー	牝3	54.0		石川裕紀	1:58.7	1/2	6-5-5-5	41.2	6.3	3	480	-2		手塚貴久		シルクレーシング	
8	3	4		ラフレシアレディ	牝3	54.0		柴山雄一	1:58.8	3/4	10-10-9-9	40.8	219.3	13	478	2		畠山吉宏		吉田昭一	
9	2	3		ジェイエルシップ	牝3	54.0		吉田豊	1:58.9	3/4	14-15-12-12	40.5	115.6	12	448	-4		小西一男		橋元幸人	
10	3	5		ベストオンアース	牝3	54.0		大野拓弥	1:59.4	3.0	2-2-2-2	42.3	3.5	2	484	0		伊藤大士		那須野牧場	
11	4	7		ナムラピアス	牝3	54.0		三浦皇成	1:59.6	1.0	14-13-10-10	41.5	10.8	5	446	2		稲垣幸雄		奈村睦弘	
12	2	2		マリノオークション	牝3	53.0		木幡巧也	1:59.6	ハナ	1-1-1-1	42.5	87.9	9	482	0		牧光二		矢野まり子	
13	6	10		シゲルキャッツアイ	牝3	51.0		大塚海渡	1:59.7	1/2	11-13-15-14	41.1	311.5	15	438	-2		石毛善彦		森中蕃	
14	6	11		エリーベル	牝3	52.0		菊沢一樹	2:01.7	大	11-11-12-13	43.3	296.0	14	454	-8		武市康男		谷川正純	
15	8	15		アートノーブル	牝3	52.0		野中悠太	2:10.2	大	3-3-12-15	51.9	108.4	10	458	-8		本間忍		森山進	
